Country Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kiribati,1771.129268,1843.553363,1772.087183,1736.705357,1639.852747,1742.667993,1853.051227,1912.738094,1750.997719,1751.78232
St. Kitts and Nevis,17832.45729,17532.0559,18580.13019,20219.39542,20328.80035,21387.54155,22464.98996,22901.38164,23595.49232,18859.01904
"Korea, Rep.",25097.59543,25459.1689,27179.51701,29252.93124,28737.43917,29280.44032,31600.73587,33447.15628,31902.4169,31721.29891
Kuwait,49169.6064,52155.22255,49651.04397,44368.78137,29882.21269,27323.68906,29047.65358,32067.96237,31707.87375,25236.07555
Lao PDR,1361.547044,1563.565077,1812.517744,1981.039109,2121.013391,2303.22156,2432.430595,2545.107542,2589.32081,2583.777307
Lebanon,7834.962571,8406.984056,8162.379294,7577.64133,7714.11,8089.012088,8608.21085,9174.536662,8905.880055,5561.19167
Liberia,568.0878655,638.3687515,710.7445709,706.7144901,692.5900824,714.6130631,699.2690957,692.2031271,658.1641808,616.787867
Libya,7593.839153,14975.89028,11951.71341,8926.420746,7458.489178,7525.802993,9965.832367,11196.58548,9963.194891,6650.338106
St. Lucia,9128.99442,9260.300066,9577.217338,10044.82184,10334.98608,10638.12694,11333.11238,11642.69847,11794.05972,8411.074749
Liechtenstein,158066.3694,148842.0351,172823.6078,178735.153,167187.1573,165375.4914,170547.0923,174988.7751,166907.8393,164671.0936
Sri Lanka,3224.957363,3327.776124,3740.615893,3971.919131,4057.715835,4149.191908,4398.888281,4358.560959,4081.947727,3847.601377
Lesotho,1280.733909,1217.930712,1151.037358,1173.537793,1121.198513,992.4918407,1069.366732,1170.655697,1082.057068,918.5825774
Lithuania,14261.84338,14288.18535,15636.52526,16446.16472,14269.80399,14934.27028,16800.15102,19247.23154,19608.79439,20428.64782
Luxembourg,119025.0572,112584.6763,120000.1407,123678.7021,105462.0126,106899.2935,110193.2138,116926.7596,112696.6491,116860.0282
Latvia,12902.57405,13329.34999,14484.47153,15185.81458,13321.97531,13838.52668,15132.49583,17252.17104,17294.97516,17564.23215
"Macao SAR, China",67041.28231,76051.63123,87069.767,88310.81196,70070.2918,69074.0363,77704.92153,83761.81718,81967.69917,36976.25611
Morocco,3301.98877,3164.177246,3379.743164,3435.406982,3146.247803,3140.855469,3296.526611,3501.697998,3508.097656,3268.030273
Monaco,179363.9842,165444.6514,184940.6638,195693.5707,170437.1012,173604.7536,170663.3752,188298.3157,193746.7856,176891.8865
Moldova,2941.362241,3044.808432,3321.043978,3289.957586,2749.551371,2847.087948,3453.267277,4156.44982,4405.334182,4375.778893
Madagascar,506.1636916,493.5111629,515.3015894,505.6849225,445.3200695,453.9707145,491.8668487,500.4571855,499.8188376,450.7716152
Maldives,7424.520411,7461.297037,8236.081779,8939.074166,9644.90655,9947.807447,10509.62881,11423.28384,11740.2724,7393.888654
Mexico,10664.4944,10744.13352,11216.80085,11391.37735,10021.23861,9097.923977,9649.278168,10084.79376,10369.55536,8841.270751
Marshall Islands,3319.398154,3514.265155,3677.906908,3735.239778,3764.344262,4229.809889,4592.834576,4858.120791,5292.339855,5661.967873
North Macedonia,5416.866729,5049.826539,5626.261157,5925.385922,5262.686719,5598.486226,5955.297386,6713.989254,6718.858266,6659.596511
Mali,941.5749447,878.2171753,903.1904525,940.24326,838.1198694,872.4685872,924.0575317,996.3792921,971.9493186,953.2429433
Malta,23516.96913,22878.31313,25415.55668,27424.57654,25529.68131,26459.07721,30317.24434,33382.26775,32421.91798,31833.59638
Myanmar,1213.628987,1202.665896,1199.095616,1293.000423,1166.733055,1229.197135,1272.822418,1298.213103,1425.989542,1490.216835
Montenegro,7325.646892,6577.740332,7172.929085,7364.965901,6491.192806,6999.135813,7758.36922,8790.881521,8842.485287,7612.628459
Mongolia,3736.042015,4328.890019,4340.143105,4126.239758,3838.92127,3619.900264,3645.967087,4107.642885,4347.546103,4001.251931
Northern Mariana Islands,13598.71661,14013.60033,14632.85189,15945.41761,17665.10075,24225.47417,31225.605,26509.36284,24496.66521,18220.83824
Mozambique,618.1764929,685.6857482,686.5056725,697.1426804,610.5637747,441.4897348,470.9385631,517.5072603,519.0925509,462.4338765
Mauritania,1931.199755,1859.117332,1934.241031,1713.008653,1554.948979,1565.765757,1615.004013,1722.935289,1767.072711,1795.764596
Mauritius,9197.042991,9291.236276,9764.644131,10366.35508,9507.871337,9965.725311,10841.68478,11643.4606,11403.25279,9011.042884
Malawi,763.0610004,558.4620883,496.9473683,529.513344,539.6053632,450.5061055,495.7696834,533.2031737,580.8898161,602.5074782
Malaysia,10217.10686,10600.57442,10713.64076,11013.31073,9648.679794,9476.534098,9862.548066,10901.802,10920.19176,9957.526267
Namibia,5834.791768,5942.64681,5346.621311,5378.323262,4774.106509,4395.687762,5143.960723,5308.608134,4731.921032,3878.58983
New Caledonia,38835.94019,35559.5672,36671.15668,37816.95586,30858.72371,30782.85444,32354.71028,34902.89688,33411.33588,33270.3306
Niger,510.7595618,528.5101045,552.1033344,565.3098973,485.6625742,502.7064754,521.80413,578.5680357,561.6913043,579.5124958
Nigeria,2418.41317,2633.197347,2872.790834,3088.721313,2585.733607,2070.412734,1876.340271,2057.879446,2265.155209,2019.657063
Nicaragua,1679.711921,1784.69836,1835.439964,1958.370476,2074.456206,2131.687048,2182.61381,2035.165494,1958.620515,1938.447048
Netherlands,54701.7728,50473.9442,52602.28605,53457.22349,45793.81354,46808.52915,49513.68173,53955.077,53554.90075,53467.92774
Norway,101221.8135,102175.9193,103553.8401,97666.69518,74809.9658,70867.361,76131.8384,82792.84271,76430.58895,68340.0181
Nepal,785.5186562,788.2029371,803.2695954,821.4552249,875.5436355,877.2564547,1034.283749,1179.198432,1203.142947,1154.215176
Nauru,6480.904513,9817.368722,8974.518869,9193.097844,7703.431499,8724.307003,9613.412091,11408.69476,10776.82846,10695.69933
New Zealand,38431.77668,40053.69915,43000.46468,44618.26697,38665.3723,40113.71954,42950.38417,43257.07692,42779.22982,41850.92033
Oman,25188.00742,24642.29788,23458.02338,23160.65023,18808.30779,17110.18975,17820.06618,19901.76156,19180.18642,16784.86306
Pakistan,1131.735138,1204.364755,1225.434012,1266.613408,1380.470208,1424.691612,1519.234595,1569.338146,1390.41691,1278.397352
Panama,9662.295922,11064.80636,12273.3225,13213.19896,14082.65485,14832.36116,15694.62975,16151.32735,16477.90663,13290.56083
Peru,5861.357936,6519.37853,6746.800257,6667.134104,6231.711503,6217.036,6736.166937,6978.491215,7037.008037,6133.325524
Philippines,2383.918925,2614.616444,2781.279577,2866.838038,2909.85818,2985.19564,3038.12125,3168.510366,3400.789498,3227.579102
Palau,11000.87952,12145.36448,12768.90866,13726.02314,15690.75971,16762.57234,16034.13429,16197.72651,15841.19564,14556.58723
Papua New Guinea,2288.375911,2635.087363,2560.77459,2723.175298,2484.59634,2316.394798,2477.76531,2566.368337,2575.772741,2429.611346
Poland,13867.66694,13087.42094,13621.90238,14262.28419,12637.52203,12464.0121,13913.34152,15658.21059,15874.52205,16150.9291
Puerto Rico (US),27170.07665,27742.02448,28212.04997,28576.0988,29242.04147,29978.08893,30328.48711,30679.91819,31830.5285,31427.11308
Portugal,23246.54254,20593.42742,21676.48596,22120.68501,19215.7813,19980.28089,21442.38428,23541.14011,23343.3629,22299.40441
Paraguay,5805.401545,5642.169917,6435.683427,6652.254789,5879.337923,5775.159634,6152.267115,6258.449916,5821.181995,5365.472207
West Bank and Gaza,2880.798437,3067.438727,3315.297539,3352.112595,3272.154324,3527.613824,3620.360487,3562.330943,3656.858271,3233.568638
French Polynesia,22831.51853,20846.54575,21955.63293,22258.63214,19166.95948,19690.07757,20826.93125,21925.61604,21582.5892,19966.48385
Qatar,103261.5065,108470.3788,103697.0084,95840.63101,68985.2947,61253.63755,63279.85569,71039.84906,66841.30135,51683.50544
Romania,9560.675528,8929.953662,9497.674116,10031.77108,8977.017482,9404.540059,10727.9822,12502.26241,12992.03261,13082.30066
Russian Federation,14305.33203,15401.85156,15941.44824,14055.47266,9277.713867,8663.158203,10658.91309,11211.8877,11447.70117,10108.32715
Rwanda,651.133678,706.8172687,704.924218,724.9575261,733.9986304,729.519134,758.3009667,771.7735111,810.0514121,778.7014988
Saudi Arabia,27126.74987,28733.43755,27865.4656,27805.48503,23256.15496,22267.72171,23929.29071,29360.0659,29566.79338,24338.83073
Sudan,1332.657227,1019.222107,1138.627808,1275.438354,1292.379639,1033.215942,966.5056763,731.0274658,709.9752808,577.7952271
Senegal,1374.675919,1326.837988,1379.831966,1398.891376,1218.006136,1266.439572,1356.805184,1452.556126,1431.181289,1461.087204
Singapore,53891.45703,55547.55531,56967.42579,57564.80231,55645.60686,57005.58872,61236.25127,66881.6067,65952.0379,61410.07926
Solomon Islands,1924.052773,2066.253523,2161.395736,2164.944239,2045.478895,2082.62989,2143.574652,2278.206339,2223.665026,2063.331015
Sierra Leone,761.1463656,937.5044282,1117.471831,1117.758647,964.5759809,844.4164112,779.1860078,845.9145405,844.0495552,845.9829143
El Salvador,3330.600495,3497.912569,3582.26694,3666.012489,3790.340891,3901.34015,4020.126714,4183.54621,4320.116715,3997.192796
San Marino,55601.39297,47945.89917,50807.82891,51260.49383,43146.82404,44359.47977,45192.02798,47950.68806,46627.01224,44426.64634
"Somalia, Fed. Rep.",235.3259456,350.2619467,393.398704,429.4316567,445.5830801,460.9284906,510.9399523,509.5258019,539.8939316,518.1847785
Serbia,7082.286167,6263.040861,7040.418121,6886.678091,5820.321558,5982.370301,6548.036538,7559.861657,7755.632986,8098.709557
Sao Tome and Principe,1219.801891,1210.792647,1382.575784,1489.676334,1298.109466,1434.870181,1555.794778,1825.599718,1935.293182,2167.220018
Suriname,7949.888672,8851.240507,9043.192815,9108.189054,8813.617054,5644.206106,6049.521286,6665.741805,6629.667752,4755.392217
Slovak Republic,18469.43543,17516.96911,18312.78051,18770.92899,16442.07609,16636.07691,17645.52987,19573.3717,19406.05897,19735.48583
Slovenia,24940.62848,22442.14179,23236.96553,24013.06821,20697.27485,21447.83778,23303.07771,25888.04811,25814.16872,25392.06511
Sweden,60379.77482,57749.82513,60844.27671,59583.714,51197.95293,51820.39725,53300.85873,54181.90698,51773.04646,52653.75659
Eswatini,4312.342434,4347.995693,3951.120081,3771.907965,3420.753571,3239.807075,3853.991479,3973.463449,3913.12644,3454.784217
Sint Maarten (Dutch part),27317.51789,28149.09979,28529.73247,37134.91242,37839.62838,37308.61478,34701.30585,31708.31101,34861.46953,30150.89984
Seychelles,12110.09375,12337.15547,14821.29215,15188.19022,15333.10517,16566.9946,17480.36519,18440.23405,19141.51187,14041.47541
Syrian Arab Republic,2952.143494,1897.66115,985.8926692,1060.591059,847.7316319,656.3490586,851.5020053,1098.066864,1109.53926,572.3552898
Turks and Caicos Islands,23626.72632,22633.95275,22412.20694,24014.26534,25736.10163,26946.41785,25614.83727,31625.61659,31780.52171,20690.91605
Chad,1308.142187,1354.343447,1304.88743,1278.789814,993.9907306,861.8317676,854.4612004,948.6566299,893.3364416,866.9478149
Togo,783.9893805,762.3920476,826.5432595,855.5852849,751.0524051,772.5817871,792.7654872,851.1308069,826.2606541,853.5782203
Thailand,5373.623283,5725.528028,6018.082447,5801.197892,5688.853354,5833.577156,6413.091825,7099.776501,7605.696578,6985.643939
Tajikistan,833.6019782,952.4528197,1028.197043,1081.544029,956.9163109,788.7104817,829.4571476,834.2884046,871.0223729,834.3117155
Turkmenistan,5143.619293,6053.874847,6599.645291,7164.145362,5759.497904,5686.98041,5828.481662,6125.051697,6648.034896,6592.60146
Timor-Leste,939.0452411,1022.619032,1204.568415,1224.749578,1319.592974,1335.543901,1266.17768,1219.465997,1562.364581,1630.869385
Tonga,3849.993758,4384.170587,4219.246701,4136.590109,4123.903472,3987.986188,4365.929298,4638.897854,4676.848025,4700.449405
Trinidad and Tobago,19151.08702,20332.13895,21304.97765,21908.30178,19887.23374,17449.16235,17578.64178,17575.80428,17293.47301,15358.8613
Tunisia,4420.647722,4297.267825,4369.793458,4458.978955,4014.947737,3847.803544,3619.032473,3628.103665,3528.872133,3548.653637
Turkiye,11300.78522,11713.28498,12578.18786,12165.22014,11049.99511,10970.04589,10695.5502,9568.835063,9215.440499,8638.739038
Tuvalu,3636.0814,3598.461631,3510.216401,3528.858581,3357.834177,3808.69755,4165.663387,4466.120349,5115.13076,4976.112541
Tanzania,775.3927612,861.9699097,963.0571289,1022.748413,939.1273193,953.0107422,986.6740112,1023.106262,1063.32251,1117.415283
Uganda,835.6200606,795.2228676,818.2854274,896.0547955,862.9346104,752.6965717,765.2183323,792.1657002,822.1711501,845.7664639
Ukraine,3656.697998,3951.342285,4129.896973,3054.908203,2094.473877,2158.461182,2604.287598,3059.051758,3619.861572,3709.769287
Uruguay,15132.26757,16259.59408,18335.25948,18322.42768,17125.90168,17009.75842,19184.65026,19249.94047,18315.7317,15757.5356
United States,50024.88123,51708.39406,53297.38629,55153.39402,56849.46979,57976.6282,60047.71907,62875.66614,65227.95659,64401.50744
Uzbekistan,2087.863861,2307.346491,2461.979474,2674.962838,2803.19018,2753.379514,2190.604116,1813.085308,2041.384807,1978.280519
St. Vincent and the Grenadines,6527.689969,6713.807686,7072.467372,7168.828753,7353.735561,7656.900429,7988.04445,8428.126772,8740.594252,8351.20324
Virgin Islands (U.S.),38997.13732,37795.31926,34597.97669,33045.36438,34007.35294,35324.97489,35365.0693,36663.20876,38633.52989,39787.37417
Viet Nam,1950.925042,2185.117677,2359.517365,2546.384645,2577.568853,2735.060438,2956.109921,3222.310031,3440.900254,3534.039535
Vanuatu,3163.186165,3004.784167,2979.796081,2973.090265,2854.894123,2956.126448,3159.860558,3206.657487,3207.446505,3042.987116
Samoa,3821.506783,3934.603208,4023.525401,3982.680802,4084.360838,4147.070977,4307.59382,4231.814095,4351.942349,4099.660091
Kosovo,3538.947598,3410.655507,3704.558728,3902.494244,3520.628507,3759.449591,4009.317993,4384.186241,4415.997161,4310.890655
South Africa,8646.055711,8076.976785,7331.654674,6856.731371,6112.273825,5651.205852,6618.335083,6914.178032,6533.71121,5580.603831
Zambia,1624.868178,1710.050613,1820.718548,1707.485731,1295.877887,1239.085279,1483.465773,1463.899979,1258.986198,951.6443167
Zimbabwe,1037.246137,1238.594795,1362.299529,1372.214746,1386.418559,1407.420964,3448.086991,2271.852504,1683.913136,1730.45391
